user_id,session_id,timestamp,event_index,event_type,item_id,category,price,price_bucket,dwell_time_s,gap_time_s,referrer,device,state_true,is_noise
u_000000,s_7_0000001,2025-11-28T05:40:43.018250Z,0,compare,item_004288,pants,51.39,50_100,5.352,0.0,search,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:40:59.033918Z,1,item_view,item_005963,beauty,15.84,0_20,11.734,4.282,,desktop,exploring,0
u_000000,s_7_0000001,2025-11-28T05:41:09.990216Z,2,category_view,item_003213,home,125.49,100_200,8.113,2.844,,desktop,exploring,0
u_000000,s_7_0000001,2025-11-28T05:41:23.552493Z,3,item_view,item_009567,tops,12.63,0_20,10.801,2.761,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:41:58.841175Z,4,compare,item_009248,pants,38.19,20_50,8.68,26.608,,desktop,churn_risk,0
u_000000,s_7_0000001,2025-11-28T05:42:21.803360Z,5,item_view,item_005073,electronics,121.65,100_200,5.765,17.197,,desktop,idle,1
u_000000,s_7_0000001,2025-11-28T05:42:43.842382Z,6,item_view,item_005284,shoes,80.99,50_100,3.203,18.836,,desktop,idle,0
u_000000,s_7_0000001,2025-11-28T05:50:45.847768Z,7,category_view,item_007939,home,44.02,20_50,5.432,476.573,,desktop,idle,1
u_000000,s_7_0000001,2025-11-28T05:51:23.748374Z,8,item_view,item_006704,electronics,166.79,100_200,5.757,32.144,,desktop,idle,0
u_000000,s_7_0000001,2025-11-28T05:51:47.588618Z,9,search,item_004997,pants,49.66,20_50,15.698,8.142,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:51:56.989936Z,10,category_view,item_010580,outerwear,105.68,100_200,7.505,1.896,,desktop,high_intent,0
u_000000,s_7_0000001,2025-11-28T05:52:27.783736Z,11,wishlist,item_007541,outerwear,101.33,100_200,28.795,1.998,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:52:41.482496Z,12,item_view,item_007541,tops,36.6,20_50,4.999,8.7,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:52:57.271707Z,13,item_view,item_007541,pants,31.78,20_50,9.843,5.947,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:53:10.586791Z,14,checkout_start,item_009895,outerwear,78.35,50_100,10.717,2.598,,desktop,churn_risk,0
u_000000,s_7_0000001,2025-11-28T05:53:33.004295Z,15,category_view,item_007943,beauty,25.84,20_50,14.488,7.929,,desktop,exploring,0
u_000000,s_7_0000001,2025-11-28T05:53:59.278356Z,16,search,item_010690,home,132.41,100_200,19.87,6.404,,desktop,evaluating,0
u_000000,s_7_0000001,2025-11-28T05:54:58.025296Z,17,exit,item_011425,tops,46.88,20_50,7.396,51.351,,desktop,idle,0
u_000000,s_7_0000002,2025-12-01T05:39:19.189251Z,0,item_view,item_000164,pants,42.2,20_50,19.378,0.0,search,desktop,exploring,0
u_000000,s_7_0000002,2025-12-01T05:39:36.827493Z,1,checkout_start,item_000912,home,36.06,20_50,7.34,10.298,,desktop,high_intent,0
u_000000,s_7_0000002,2025-12-01T05:40:10.598092Z,2,exit,item_003917,electronics,367.69,200_plus,24.55,9.221,,desktop,churn_risk,0
u_000000,s_7_0000003,2025-12-02T07:58:57.806913Z,0,item_view,item_000014,tops,32.44,20_50,5.605,0.0,social,desktop,exploring,0
u_000000,s_7_0000003,2025-12-02T07:59:12.963171Z,1,item_view,item_005973,home,62.5,50_100,8.437,6.719,,desktop,exploring,0
u_000000,s_7_0000003,2025-12-02T07:59:37.363629Z,2,exit,item_002114,tops,65.0,50_100,4.463,19.937,,desktop,idle,0
u_000000,s_7_0000004,2025-12-02T21:07:33.331915Z,0,checkout_start,item_002108,bags,195.53,100_200,17.729,0.0,search,desktop,exploring,0
u_000000,s_7_0000004,2025-12-02T21:07:44.357598Z,1,item_view,item_010649,bags,184.11,100_200,8.87,2.156,,desktop,exploring,0
u_000000,s_7_0000004,2025-12-02T21:08:01.440649Z,2,search,item_010235,home,105.45,100_200,14.98,2.103,,desktop,evaluating,0
u_000000,s_7_0000004,2025-12-02T21:08:20.341026Z,3,item_view,item_009680,electronics,45.34,20_50,13.044,5.856,,desktop,churn_risk,0
u_000000,s_7_0000004,2025-12-02T21:08:47.680646Z,4,landing,item_004710,bags,51.02,50_100,4.572,22.767,,desktop,churn_risk,0
u_000000,s_7_0000004,2025-12-02T21:09:12.990341Z,5,item_view,item_002966,tops,25.07,20_50,16.59,8.719,,desktop,churn_risk,0
u_000000,s_7_0000004,2025-12-02T21:09:31.398344Z,6,exit,item_005554,shoes,183.88,100_200,10.118,8.29,,desktop,churn_risk,0
u_000000,s_7_0000005,2025-12-05T00:24:59.406062Z,0,landing,item_011331,tops,37.89,20_50,8.074,0.0,social,desktop,churn_risk,0
u_000000,s_7_0000005,2025-12-05T00:25:30.204674Z,1,add_to_cart,item_000107,electronics,141.26,100_200,6.698,24.101,,desktop,churn_risk,0
u_000000,s_7_0000005,2025-12-05T00:25:59.259911Z,2,item_view,item_005377,electronics,79.27,50_100,3.708,25.348,,desktop,churn_risk,0
u_000000,s_7_0000005,2025-12-05T00:26:11.431148Z,3,category_view,item_003978,outerwear,306.66,200_plus,10.195,1.976,,desktop,exploring,0
u_000000,s_7_0000005,2025-12-05T00:26:36.917470Z,4,item_view,item_002338,electronics,368.83,200_plus,19.114,6.372,,desktop,exploring,0
u_000000,s_7_0000005,2025-12-05T00:29:52.086726Z,5,item_view,item_002789,bags,180.47,100_200,4.413,190.756,,desktop,idle,0
u_000000,s_7_0000005,2025-12-05T00:30:57.773813Z,6,compare,item_000713,beauty,16.51,0_20,60.929,4.758,,desktop,evaluating,0
u_000000,s_7_0000005,2025-12-05T00:31:24.525935Z,7,compare,item_002657,bags,121.98,100_200,10.513,16.239,,desktop,idle,0
u_000000,s_7_0000005,2025-12-05T00:31:47.668429Z,8,add_to_cart,item_011784,home,83.62,50_100,7.194,15.948,,desktop,idle,0
u_000000,s_7_0000005,2025-12-05T00:32:13.935541Z,9,item_view,item_003416,shoes,62.92,50_100,8.063,18.205,,desktop,evaluating,0
u_000000,s_7_0000005,2025-12-05T00:32:25.698201Z,10,category_view,item_003637,shoes,103.79,100_200,8.864,2.899,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:32:38.026345Z,11,remove_from_cart,item_008304,beauty,17.06,0_20,8.709,3.619,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:33:54.188044Z,12,category_view,item_010582,home,56.21,50_100,59.904,16.258,,desktop,evaluating,0
u_000000,s_7_0000005,2025-12-05T00:34:09.374326Z,13,remove_from_cart,item_003666,beauty,17.46,0_20,11.637,3.55,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:34:23.584094Z,14,item_view,item_001742,beauty,22.95,20_50,6.06,8.15,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:34:33.387725Z,15,search,item_010215,outerwear,259.3,200_plus,8.411,1.393,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:34:44.286025Z,16,purchase,item_008353,electronics,142.8,100_200,6.885,4.013,,desktop,high_intent,0
u_000000,s_7_0000005,2025-12-05T00:34:53.267238Z,17,exit,item_005333,outerwear,170.43,100_200,6.213,2.768,,desktop,high_intent,0
u_000000,s_7_0000006,2025-12-06T08:07:52.059561Z,0,landing,item_003584,bags,50.58,50_100,16.652,0.0,social,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:08:10.804524Z,1,category_view,item_010228,outerwear,71.29,50_100,7.809,10.936,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:08:54.261856Z,2,add_to_cart,item_005234,bags,85.75,50_100,2.319,41.138,,desktop,idle,0
u_000000,s_7_0000006,2025-12-06T08:09:18.008931Z,3,category_view,item_009392,pants,53.45,50_100,16.961,6.786,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:09:28.560723Z,4,checkout_start,item_002699,bags,152.24,100_200,6.541,4.011,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:09:41.725303Z,5,item_view,item_009750,pants,44.33,20_50,11.426,1.739,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:10:00.279374Z,6,search,item_000165,outerwear,41.11,20_50,12.027,6.527,,desktop,evaluating,0
u_000000,s_7_0000006,2025-12-06T08:10:33.157448Z,7,item_view,item_007423,shoes,52.55,50_100,28.875,4.003,,desktop,evaluating,0
u_000000,s_7_0000006,2025-12-06T08:11:00.683443Z,8,category_view,item_003880,home,24.65,20_50,17.248,10.278,,desktop,evaluating,0
u_000000,s_7_0000006,2025-12-06T08:11:15.621138Z,9,search,item_008820,electronics,348.48,200_plus,13.659,1.278,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:11:27.748168Z,10,search,item_007748,beauty,27.85,20_50,8.59,3.537,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:11:43.534337Z,11,compare,item_004187,tops,20.87,20_50,7.982,7.804,,desktop,evaluating,0
u_000000,s_7_0000006,2025-12-06T08:12:26.283257Z,12,search,item_007827,electronics,135.23,100_200,38.371,4.378,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:12:38.114118Z,13,item_view,item_002474,home,74.21,50_100,8.847,2.984,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:13:20.032787Z,14,compare,item_005392,pants,98.49,50_100,17.79,24.129,,desktop,evaluating,0
u_000000,s_7_0000006,2025-12-06T08:13:49.289883Z,15,add_to_cart,item_008216,electronics,245.68,200_plus,26.658,2.599,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:13:58.216549Z,16,item_view,item_002666,pants,56.35,50_100,4.629,4.298,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:14:14.962859Z,17,search,item_010209,bags,280.38,200_plus,5.736,11.01,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:14:25.436121Z,18,wishlist,item_002730,pants,109.86,100_200,7.179,3.294,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:14:47.088143Z,19,search,item_002150,pants,68.32,50_100,6.031,15.621,,desktop,exploring,0
u_000000,s_7_0000006,2025-12-06T08:15:31.531789Z,20,item_view,item_003246,beauty,35.19,20_50,4.896,39.547,,desktop,idle,0
u_000000,s_7_0000006,2025-12-06T08:16:19.446448Z,21,category_view,item_008351,home,79.78,50_100,5.023,42.892,,desktop,idle,0
u_000000,s_7_0000006,2025-12-06T08:18:16.829312Z,22,item_view,item_010630,home,116.96,100_200,2.613,114.77,,desktop,idle,0
u_000000,s_7_0000006,2025-12-06T08:19:17.985385Z,23,exit,item_009969,home,77.82,50_100,9.371,51.785,,desktop,idle,0
u_000000,s_7_0000007,2025-12-06T09:01:49.493852Z,0,category_view,item_000115,tops,49.35,20_50,6.106,0.0,direct,desktop,churn_risk,0
u_000000,s_7_0000007,2025-12-06T09:08:16.668823Z,1,exit,item_009153,home,26.95,20_50,11.379,375.796,,desktop,idle,0
u_000000,s_7_0000008,2025-12-07T17:02:40.313136Z,0,item_view,item_000424,home,34.86,20_50,21.942,0.0,social,desktop,high_intent,0
u_000000,s_7_0000008,2025-12-07T17:02:59.726781Z,1,add_to_cart,item_000427,beauty,14.08,0_20,13.64,5.774,,desktop,evaluating,0
u_000000,s_7_0000008,2025-12-07T17:05:44.525738Z,2,exit,item_000505,tops,45.0,20_50,7.937,156.862,,desktop,idle,0
u_000000,s_7_0000009,2025-12-07T18:48:36.235318Z,0,category_view,item_004201,shoes,67.56,50_100,7.041,0.0,search,desktop,exploring,0
u_000000,s_7_0000009,2025-12-07T18:49:07.380446Z,1,category_view,item_000138,shoes,91.39,50_100,26.372,4.773,,desktop,exploring,0
u_000000,s_7_0000009,2025-12-07T18:49:22.984889Z,2,category_view,item_000102,home,32.23,20_50,12.04,3.564,,desktop,exploring,0
u_000000,s_7_0000009,2025-12-07T18:50:01.891699Z,3,exit,item_011074,beauty,34.57,20_50,8.73,30.177,,desktop,idle,0
u_000000,s_7_0000010,2025-12-07T22:25:06.101705Z,0,search,item_003060,bags,80.6,50_100,12.617,0.0,search,desktop,exploring,0
u_000000,s_7_0000010,2025-12-07T22:25:17.341871Z,1,item_view,item_000821,tops,22.06,20_50,9.121,2.119,,desktop,evaluating,0
u_000000,s_7_0000010,2025-12-07T22:25:33.078533Z,2,purchase,item_003031,bags,177.02,100_200,9.418,6.318,,desktop,churn_risk,0
u_000000,s_7_0000010,2025-12-07T22:26:07.990259Z,3,exit,item_000872,home,21.03,20_50,10.248,24.663,,desktop,churn_risk,0
u_000000,s_7_0000011,2025-12-08T14:19:09.932413Z,0,add_to_cart,item_002299,tops,68.08,50_100,42.013,0.0,search,desktop,exploring,0
u_000000,s_7_0000011,2025-12-08T14:19:34.979276Z,1,exit,item_002299,shoes,54.2,50_100,12.655,12.392,,desktop,evaluating,0
u_000000,s_7_0000012,2025-12-09T20:47:44.268503Z,0,item_view,item_000111,electronics,558.25,200_plus,8.71,0.0,search,desktop,evaluating,0
u_000000,s_7_0000012,2025-12-09T20:47:55.385614Z,1,item_view,item_001085,tops,40.64,20_50,8.088,3.029,,desktop,exploring,0
u_000000,s_7_0000012,2025-12-09T20:48:42.859121Z,2,item_view,item_001197,outerwear,185.47,100_200,28.225,19.248,,desktop,evaluating,0
u_000000,s_7_0000012,2025-12-09T20:48:53.585628Z,3,item_view,item_004559,shoes,78.14,50_100,8.984,1.743,,desktop,high_intent,0
u_000000,s_7_0000012,2025-12-09T20:49:13.936756Z,4,category_view,item_009385,outerwear,382.58,200_plus,18.093,2.258,,desktop,high_intent,0
u_000000,s_7_0000012,2025-12-09T20:49:24.128290Z,5,add_to_cart,item_003942,tops,36.56,20_50,8.52,1.671,,desktop,high_intent,0
u_000000,s_7_0000012,2025-12-09T20:49:40.578154Z,6,checkout_start,item_009853,electronics,150.32,100_200,12.873,3.577,,desktop,exploring,0
u_000000,s_7_0000012,2025-12-09T20:49:48.405461Z,7,exit,item_007519,electronics,389.43,200_plus,4.729,3.098,,desktop,exploring,0
u_000000,s_7_0000013,2025-12-10T03:44:46.839959Z,0,search,item_000163,beauty,11.97,0_20,25.0,0.0,ads,desktop,exploring,0
u_000000,s_7_0000013,2025-12-10T03:45:02.494562Z,1,compare,item_000224,electronics,157.95,100_200,11.119,4.535,,desktop,evaluating,0
u_000000,s_7_0000013,2025-12-10T03:45:22.972768Z,2,item_view,item_000224,electronics,20.01,20_50,19.031,1.447,,desktop,evaluating,0
u_000000,s_7_0000013,2025-12-10T03:45:40.992264Z,3,add_to_cart,item_002122,tops,32.28,20_50,7.337,10.682,,desktop,churn_risk,0
u_000000,s_7_0000013,2025-12-10T03:46:29.273283Z,4,wishlist,item_005383,tops,53.82,50_100,10.458,37.823,,desktop,exploring,1
u_000000,s_7_0000013,2025-12-10T03:47:02.391207Z,5,compare,item_005383,outerwear,111.44,100_200,15.115,18.003,,desktop,evaluating,0
