user_id,session_id,archetype,session_start,session_end,n_events,unique_items,unique_categories,n_item_view,n_compare,n_add_to_cart,n_remove_from_cart,n_checkout_start,n_purchase,conversion,total_dwell_time_s,total_gap_time_s,hesitation_index,path_signature
u_000000,s_7_0000001,researcher,2025-11-28T05:40:37.666410Z,2025-11-28T05:54:58.025296Z,18,16,7,7,2,0,0,1,0,0,184.149,676.21,0.18625,search->search->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->item_view->wishlist->compare->compare->checkout_start->exit
u_000000,s_7_0000002,researcher,2025-12-01T05:38:59.810969Z,2025-12-01T05:40:10.598092Z,3,3,3,1,0,0,0,1,0,0,51.268,19.519,0.01301,item_view->checkout_start->exit
u_000000,s_7_0000003,researcher,2025-12-02T07:58:52.201984Z,2025-12-02T07:59:37.363629Z,3,3,2,2,0,0,0,0,0,0,18.505,26.656,0.01777,item_view->item_view->exit
u_000000,s_7_0000004,researcher,2025-12-02T21:07:15.602548Z,2025-12-02T21:09:31.398344Z,7,7,5,3,0,0,0,1,0,0,85.905,49.891,0.01425,landing->search->item_view->item_view->item_view->checkout_start->exit
u_000000,s_7_0000005,researcher,2025-12-05T00:24:51.332116Z,2025-12-05T00:34:53.267238Z,18,18,7,5,2,2,2,0,1,1,255.584,346.351,0.19404,landing->search->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->compare->compare->add_to_cart->add_to_cart->remove_from_cart->remove_from_cart->purchase->exit
u_000000,s_7_0000006,researcher,2025-12-06T08:07:35.407094Z,2025-12-06T08:19:17.985385Z,24,24,8,6,2,2,0,1,0,0,287.234,415.344,0.11795,landing->search->search->search->search->search->search->category_view->category_view->category_view->category_view->item_view->item_view->item_view->item_view->item_view->item_view->wishlist->...
u_000000,s_7_0000007,researcher,2025-12-06T09:01:43.387568Z,2025-12-06T09:08:16.668823Z,2,2,2,0,0,0,0,0,0,0,17.485,375.796,0.3758,category_view->exit
u_000000,s_7_0000008,researcher,2025-12-07T17:02:18.371138Z,2025-12-07T17:05:44.525738Z,3,3,3,1,0,1,0,0,0,0,43.519,162.636,0.10842,item_view->add_to_cart->exit
u_000000,s_7_0000009,researcher,2025-12-07T18:48:29.194711Z,2025-12-07T18:50:01.891699Z,4,4,3,0,0,0,0,0,0,0,54.182,38.515,0.01926,category_view->category_view->category_view->exit
u_000000,s_7_0000010,researcher,2025-12-07T22:24:53.484457Z,2025-12-07T22:26:07.990259Z,4,4,3,1,0,0,0,0,1,1,41.405,33.101,0.01655,search->item_view->purchase->exit
